index,exchange_epoch_nanos,contract_name,expiry date,is_touchline_change,event_type,bp1,bq1,boc1,has_hidden_qty_bid,ap1,aq1,aoc1,has_hidden_qty_ask,bp2,bq2,boc2,ap2,aq2,aoc2,bp3,bq3,boc3,ap3,aq3,aoc3,bp4,bq4,boc4,ap4,aq4,aoc4,bp5,bq5,boc5,ap5,aq5,aoc5,previous_mid,mid,is_mid_change,weighted_mid,side,price,qty,qpos,old_qpos,oid1,oid2,old_price,old_qty,aggressor_type,qty_in_last_trade,level
0,1747626300018421950,NSEFNO_HFCL_SP_K25_M25,20250529,1.0,NEW_TICK,--,--,--,--,0.52,45650.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,--,1.0,--,SELL,0.52,45650.0,1.0,--,2200000000004608.0,--,--,--,--,0.0,1.0
6,1747626300020086944,NSEFNO_HFCL_K25,20250529,1.0,NEW_TICK,--,--,--,--,89.7,4150.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,--,1.0,--,SELL,89.7,4150.0,1.0,--,2200000000004977.0,--,--,--,--,0.0,1.0
10,1747626300023987215,NSEFNO_HFCL_K25,20250529,0.0,NEW_TICK,--,--,--,--,89.7,4150.0,1.0,0.0,--,--,--,96.7,4150.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,SELL,96.7,4150.0,1.0,--,2200000000005883.0,--,--,--,--,0.0,2.0
13,1747626300029323510,NSEFNO_HFCL_N25,20250731,1.0,NEW_TICK,--,--,--,--,91.62,6450.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,--,1.0,--,SELL,91.62,6450.0,1.0,--,2200000000006790.0,--,--,--,--,0.0,1.0
14,1747626300029362531,NSEFNO_HFCL_M25,20250626,1.0,NEW_TICK,--,--,--,--,91.22,4150.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,--,1.0,--,SELL,91.22,4150.0,1.0,--,2200000000006794.0,--,--,--,--,0.0,1.0
25,1747626300035908746,NSEFNO_HFCL_N25,20250731,1.0,CANCEL_TICK,81.47,6450.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,86.545,--,1.0,--,SELL,91.62,6450.0,1.0,--,2200000000006790.0,--,--,--,--,0.0,1.0
3040990,1747648985178859637,NSEFNO_HFCL_N25,20250731,1.0,CANCEL_TICK,--,--,--,--,93.0,6450.0,1.0,0.0,--,--,--,94.2,6450.0,1.0,--,--,--,94.6,6450.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,90.25,--,1.0,--,BUY,87.5,6450.0,1.0,--,2200000012488933.0,--,--,--,--,0.0,1.0
3041007,1747648985820268956,NSEFNO_HFCL_N25,20250731,1.0,CANCEL_TICK,--,--,--,--,94.2,6450.0,1.0,0.0,--,--,--,94.6,6450.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,SELL,93.0,6450.0,1.0,--,2200000035981529.0,--,--,--,--,0.0,1.0
3041020,1747648986414697714,NSEFNO_HFCL_N25,20250731,1.0,CANCEL_TICK,--,--,--,--,94.6,6450.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,SELL,94.2,6450.0,1.0,--,2200000082280749.0,--,--,--,--,0.0,1.0
3041021,1747648986430795717,NSEFNO_HFCL_SP_K25_M25,20250529,1.0,CANCEL_TICK,0.5,12450.0,2.0,0.0,--,--,--,--,0.45,49800.0,1.0,--,--,--,0.4,62250.0,2.0,--,--,--,0.36,20750.0,1.0,--,--,--,0.26,20750.0,1.0,--,--,--,0.535,--,1.0,--,SELL,0.57,4150.0,1.0,--,2200000219355380.0,--,--,--,--,0.0,1.0
3041022,1747648986430807901,NSEFNO_HFCL_SP_K25_M25,20250529,1.0,CANCEL_TICK,0.5,8300.0,1.0,0.0,--,--,--,--,0.45,49800.0,1.0,--,--,--,0.4,62250.0,2.0,--,--,--,0.36,20750.0,1.0,--,--,--,0.26,20750.0,1.0,--,--,--,--,--,1.0,--,BUY,0.5,4150.0,2.0,--,2200000219355381.0,--,--,--,--,0.0,1.0
3041033,1747648986680207353,NSEFNO_HFCL_N25,20250731,1.0,CANCEL_TICK,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,SELL,94.6,6450.0,1.0,--,2200000130077095.0,--,--,--,--,0.0,1.0
3041040,1747648987300184032,NSEFNO_HFCL_SP_K25_M25,20250529,1.0,CANCEL_TICK,0.45,49800.0,1.0,0.0,--,--,--,--,0.4,62250.0,2.0,--,--,--,0.36,20750.0,1.0,--,--,--,0.26,20750.0,1.0,--,--,--,0.1,20750.0,1.0,--,--,--,--,--,1.0,--,BUY,0.5,8300.0,1.0,--,2200000200848340.0,--,--,--,--,0.0,1.0
3041041,1747648988266942820,NSEFNO_HFCL_SP_K25_M25,20250529,0.0,CANCEL_TICK,0.45,49800.0,1.0,0.0,--,--,--,--,0.4,20750.0,1.0,--,--,--,0.36,20750.0,1.0,--,--,--,0.26,20750.0,1.0,--,--,--,0.1,20750.0,1.0,--,--,--,--,--,1.0,--,BUY,0.4,41500.0,1.0,--,2200000000061418.0,--,--,--,--,0.0,2.0
3041042,1747648988267038548,NSEFNO_HFCL_SP_K25_M25,20250529,0.0,CANCEL_TICK,0.45,49800.0,1.0,0.0,--,--,--,--,0.4,20750.0,1.0,--,--,--,0.26,20750.0,1.0,--,--,--,0.1,20750.0,1.0,--,--,--,0.01,8300.0,1.0,--,--,--,--,--,1.0,--,BUY,0.36,20750.0,1.0,--,2200000000061427.0,--,--,--,--,0.0,3.0
3041043,1747648988267112894,NSEFNO_HFCL_SP_K25_M25,20250529,0.0,CANCEL_TICK,0.45,49800.0,1.0,0.0,--,--,--,--,0.4,20750.0,1.0,--,--,--,0.1,20750.0,1.0,--,--,--,0.01,8300.0,1.0,--,--,--,--,--,--,--,--,--,--,--,1.0,--,BUY,0.26,20750.0,1.0,--,2200000000061438.0,--,--,--,--,0.0,3.0
3041044,1747648988267149521,NSEFNO_HFCL_SP_K25_M25,20250529,0.0,CANCEL_TICK,0.45,49800.0,1.0,0.0,--,--,--,--,0.4,20750.0,1.0,--,--,--,0.01,8300.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,BUY,0.1,20750.0,1.0,--,2200000000076592.0,--,--,--,--,0.0,3.0
3041045,1747648988267264227,NSEFNO_HFCL_SP_K25_M25,20250529,0.0,CANCEL_TICK,0.45,49800.0,1.0,0.0,--,--,--,--,0.01,8300.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,BUY,0.4,20750.0,1.0,--,2200000000004778.0,--,--,--,--,0.0,2.0
3041046,1747648988267407381,NSEFNO_HFCL_SP_K25_M25,20250529,1.0,CANCEL_TICK,0.01,8300.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,BUY,0.45,49800.0,1.0,--,2200000084629018.0,--,--,--,--,0.0,1.0
3041047,1747648988518904934,NSEFNO_HFCL_SP_K25_M25,20250529,1.0,CANCEL_TICK,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,BUY,0.01,8300.0,1.0,--,2200000019337612.0,--,--,--,--,0.0,1.0
3041056,1747648988665100326,NSEFNO_HFCL_K25,20250529,1.0,CANCEL_TICK,--,--,--,--,89.85,4150.0,1.0,0.0,--,--,--,89.9,4150.0,1.0,--,--,--,89.93,4150.0,1.0,--,--,--,89.95,4150.0,1.0,--,--,--,89.98,4150.0,1.0,89.7,--,1.0,--,BUY,89.55,4150.0,1.0,--,2200000221153254.0,--,--,--,--,0.0,1.0
3041057,1747648988672530506,NSEFNO_HFCL_K25,20250529,0.0,CANCEL_TICK,--,--,--,--,89.85,4150.0,1.0,0.0,--,--,--,89.9,4150.0,1.0,--,--,--,89.93,4150.0,1.0,--,--,--,89.98,4150.0,1.0,--,--,--,92.68,4150.0,1.0,--,--,1.0,--,SELL,89.95,4150.0,1.0,--,2200000235931432.0,--,--,--,--,0.0,4.0
3041058,1747648988672571037,NSEFNO_HFCL_K25,20250529,0.0,CANCEL_TICK,--,--,--,--,89.85,4150.0,1.0,0.0,--,--,--,89.93,4150.0,1.0,--,--,--,89.98,4150.0,1.0,--,--,--,92.68,4150.0,1.0,--,--,--,--,--,--,--,--,1.0,--,SELL,89.9,4150.0,1.0,--,2200000236040837.0,--,--,--,--,0.0,2.0
3041059,1747648988672601087,NSEFNO_HFCL_K25,20250529,0.0,CANCEL_TICK,--,--,--,--,89.85,4150.0,1.0,0.0,--,--,--,89.93,4150.0,1.0,--,--,--,92.68,4150.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,SELL,89.98,4150.0,1.0,--,2200000236041857.0,--,--,--,--,0.0,3.0
3041060,1747648988672623876,NSEFNO_HFCL_K25,20250529,1.0,CANCEL_TICK,--,--,--,--,89.93,4150.0,1.0,0.0,--,--,--,92.68,4150.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,SELL,89.85,4150.0,1.0,--,2200000236066050.0,--,--,--,--,0.0,1.0
3041061,1747648988672640546,NSEFNO_HFCL_K25,20250529,1.0,CANCEL_TICK,--,--,--,--,92.68,4150.0,1.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.0,--,SELL,89.93,4150.0,1.0,--,2200000236067959.0,--,--,--,--,0.0,1.0
3041063,1747648988764685036,NSEFNO_HFCL_M25,20250626,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
